"","brand_id","active_num","user_num","month_num","user_active_ratio","buy_convert"
"1",11,4,2,2,0.5,0
"2",15,1,1,1,1,0
"3",18,1,1,1,1,0
"4",20,2,2,2,1,0
"5",22,1,1,1,1,0
"6",29,24,1,2,0.0417,0.0434782608695652
"7",33,1,1,1,1,0
"8",39,1,1,1,1,0
"9",43,9,2,1,0.2222,0.0142857142857143
"10",57,4,1,1,0.25,1
"11",58,1,1,1,1,0
"12",62,4,3,1,0.75,0
"13",72,4,1,1,0.25,0
"14",90,2,1,1,0.5,0
"15",91,3,3,2,1,0
"16",103,3,1,1,0.3333,0
"17",120,6,2,2,0.3333,0
"18",123,1,1,1,1,0
"19",130,2,2,1,1,0
"20",133,1,1,1,1,0
"21",136,1,1,1,1,0
"22",138,1,1,1,1,0
"23",141,19,1,1,0.0526,0.0133333333333333
"24",143,102,31,3,0.3039,0.0555555555555556
"25",149,3,1,2,0.3333,0
"26",155,34,11,3,0.3235,0.0263157894736842
"27",162,1,1,1,1,0
"28",168,3,1,1,0.3333,0
"29",170,43,2,3,0.0465,0
"30",174,2,1,1,0.5,0
"31",175,2,2,2,1,0
"32",178,57,31,2,0.5439,0.0681818181818182
"33",179,3,2,1,0.6667,0
"34",190,1,1,1,1,0
"35",191,1,1,1,1,0
"36",192,1,1,1,1,0
"37",201,3,3,2,1,0
"38",202,3,1,1,0.3333,0.0181818181818182
"39",207,10,2,2,0.2,0
"40",214,1,1,1,1,0
"41",215,40,23,3,0.575,0.00961538461538462
"42",216,1,1,1,1,0
"43",217,35,10,3,0.2857,0.00689655172413793
"44",221,1,1,1,1,0
"45",223,2,2,2,1,0
"46",224,8,4,2,0.5,0
"47",230,6,5,2,0.8333,0
"48",239,25,8,3,0.32,0.0173410404624277
"49",241,455,11,3,0.0242,0.166666666666667
"50",251,180,24,3,0.1333,0.0555555555555556
"51",253,1,1,1,1,0
"52",255,5,4,3,0.8,0
"53",262,1,1,1,1,0
"54",264,11,1,1,0.0909,0
"55",270,1,1,1,1,0
"56",281,8,2,2,0.25,0
"57",282,51,31,3,0.6078,0
"58",290,4,4,2,1,0
"59",308,7,5,3,0.7143,0
"60",318,2,2,2,1,0
"61",322,1,1,1,1,0
"62",323,13,9,3,0.6923,0
"63",341,3,2,1,0.6667,0
"64",345,1,1,1,1,0
"65",350,2,2,1,1,0
"66",360,58,19,3,0.3276,0.375
"67",362,3,1,1,0.3333,0
"68",366,1,1,1,1,0
"69",374,34,2,3,0.0588,0
"70",377,21,5,2,0.2381,0.0114942528735632
"71",380,2,1,1,0.5,0
"72",387,1,1,1,1,0
"73",391,1,1,1,1,0
"74",395,1,1,1,1,0
"75",396,2,2,2,1,0
"76",398,38,13,3,0.3421,0.00462962962962963
"77",399,1,1,1,1,0
"78",410,4,3,1,0.75,0
"79",414,63,12,3,0.1905,0.125
"80",420,1,1,1,1,0
"81",424,3,3,2,1,0
"82",431,4,3,2,0.75,0
"83",432,12,6,2,0.5,0
"84",433,1,1,1,1,0
"85",444,1,1,1,1,0
"86",451,12,6,2,0.5,0
"87",475,1,1,1,1,0
"88",476,29,16,3,0.5517,0
"89",484,1,1,1,1,0
"90",488,3,1,1,0.3333,0
"91",489,50,17,3,0.34,0.0666666666666667
"92",500,6,1,2,0.1667,0
"93",504,42,8,2,0.1905,0.00452488687782805
"94",506,1,1,1,1,0
"95",509,1,1,1,1,0
"96",510,18,8,3,0.4444,0
"97",519,7,1,1,0.1429,0.00395256916996047
"98",524,5,2,2,0.4,0
"99",527,66,21,3,0.3182,1.5
"100",528,13,10,2,0.7692,0
"101",530,52,21,3,0.4038,0.0366492146596859
"102",531,1,1,1,1,0
"103",533,1,1,1,1,0
"104",535,2,1,1,0.5,0
"105",554,33,17,3,0.5152,0.00738007380073801
"106",559,2,1,1,0.5,0
"107",563,1,1,1,1,0
"108",569,33,8,3,0.2424,0.027027027027027
"109",572,7,3,2,0.4286,0
"110",577,1,1,1,1,0
"111",580,2,1,1,0.5,0
"112",585,1,1,1,1,0
"113",594,1,1,1,1,0
"114",599,72,19,3,0.2639,0.0714285714285714
"115",611,4,1,1,0.25,0
"116",614,5,3,3,0.6,0.00943396226415094
"117",617,3,3,2,1,0.00632911392405063
"118",619,3,2,1,0.6667,0.00632911392405063
"119",622,14,10,3,0.7143,0
"120",624,9,1,1,0.1111,0.0140845070422535
"121",628,4,1,1,0.25,0
"122",629,3,3,1,1,0
"123",634,2,1,1,0.5,0
"124",637,35,20,3,0.5714,0
"125",642,6,5,3,0.8333,1
"126",644,2,2,1,1,0
"127",646,7,4,1,0.5714,0.012987012987013
"128",647,114,18,3,0.1579,0.125
"129",658,3,1,1,0.3333,0
"130",661,10,6,3,0.6,0
"131",663,1,1,1,1,0
"132",664,1,1,1,1,0
"133",669,1,1,1,1,0
"134",678,2,2,2,1,0
"135",679,431,96,3,0.2227,0.0821917808219178
"136",681,3,3,1,1,0
"137",682,5,2,2,0.4,0
"138",684,16,5,2,0.3125,0.0357142857142857
"139",686,3,3,2,1,0
"140",690,2,1,1,0.5,0
"141",694,1,1,1,1,0
"142",700,3,3,1,1,0.0769230769230769
"143",704,1,1,1,1,0
"144",707,7,2,2,0.2857,0
"145",712,1,1,1,1,0
"146",733,2,2,2,1,0
"147",735,1,1,1,1,0
"148",743,5,4,3,0.8,0
"149",747,6,2,2,0.3333,0
"150",749,11,3,2,0.2727,0.00200803212851406
"151",750,2,1,1,0.5,0
"152",752,1,1,1,1,0
"153",765,1,1,1,1,0
"154",768,3,3,3,1,0
"155",771,9,5,2,0.5556,0
"156",772,2,1,1,0.5,0
"157",773,1,1,1,1,0
"158",778,8,5,2,0.625,1
"159",785,1,1,1,1,0
"160",786,2,1,1,0.5,0
"161",787,5,1,1,0.2,0
"162",789,35,5,2,0.1429,0
"163",796,7,3,2,0.4286,0
"164",799,3,2,1,0.6667,0
"165",801,1,1,1,1,0
"166",819,37,2,2,0.0541,0.0117647058823529
"167",825,1,1,1,1,0
"168",833,5,2,2,0.4,0
"169",834,9,4,2,0.4444,0
"170",835,1,1,1,1,0
"171",840,4,2,2,0.5,0
"172",849,15,7,2,0.4667,0.0625
"173",869,3,2,2,0.6667,0
"174",876,9,2,2,0.2222,0.0188679245283019
"175",882,2,2,1,1,0
"176",900,1,1,1,1,0
"177",903,1,1,1,1,0
"178",904,41,4,2,0.0976,0
"179",905,107,1,1,0.0093,0.0128205128205128
"180",911,301,54,3,0.1794,0.0184049079754601
"181",917,1,1,1,1,0
"182",924,1,1,1,1,0
"183",932,3,2,2,0.6667,0
"184",934,38,20,2,0.5263,0.2
"185",936,4,1,1,0.25,0
"186",937,10,7,2,0.7,0
"187",939,1,1,1,1,0
"188",941,3,3,1,1,0
"189",943,1,1,1,1,0
"190",948,1,1,1,1,0
"191",949,41,11,3,0.2683,2
"192",953,11,4,2,0.3636,0.00574712643678161
"193",962,3,1,1,0.3333,0
"194",967,1,1,1,1,0
"195",979,1,1,1,1,0
"196",984,1,1,1,1,0
"197",989,4,3,2,0.75,0.0217391304347826
"198",993,84,21,3,0.25,0
"199",1000,4,2,1,0.5,0.00222222222222222
"200",1003,1,1,1,1,0
"201",1004,1,1,1,1,0
"202",1006,1,1,1,1,0
"203",1008,37,10,3,0.2703,0.00341296928327645
"204",1010,22,6,3,0.2727,0.00219298245614035
"205",1015,18,3,3,0.1667,0.000681663258350375
"206",1017,2,1,1,0.5,0
"207",1031,99,12,2,0.1212,0.0368663594470046
"208",1034,4,1,1,0.25,0
"209",1037,25,12,3,0.48,0.5
"210",1041,8,1,1,0.125,0.0769230769230769
"211",1070,1,1,1,1,0
"212",1073,1,1,1,1,0
"213",1076,1,1,1,1,0
"214",1079,5,1,1,0.2,0.0833333333333333
"215",1080,17,8,3,0.4706,0.1
"216",1082,1,1,1,1,0
"217",1106,1,1,1,1,0
"218",1107,14,2,1,0.1429,0.0138888888888889
"219",1115,7,4,2,0.5714,0
"220",1119,20,6,1,0.3,0.166666666666667
"221",1122,4,1,1,0.25,0
"222",1123,1,1,1,1,0
"223",1126,1,1,1,1,0
"224",1127,2,2,2,1,0
"225",1135,4,1,1,0.25,0.02
"226",1140,1,1,1,1,0
"227",1148,2,1,1,0.5,0
"228",1151,2,2,1,1,0
"229",1155,18,9,2,0.5,0.0333333333333333
"230",1170,4,2,2,0.5,0
"231",1179,1,1,1,1,0
"232",1188,1,1,1,1,0
"233",1192,7,3,2,0.4286,0
"234",1197,1,1,1,1,0
"235",1200,1,1,1,1,0
"236",1206,2,2,2,1,0
"237",1213,1,1,1,1,0
"238",1217,1,1,1,1,0
"239",1218,3,2,2,0.6667,0.00641025641025641
"240",1222,122,29,3,0.2377,0.0327868852459016
"241",1224,2,2,1,1,0
"242",1228,34,10,3,0.2941,0
"243",1237,19,7,3,0.3684,0.0246913580246914
